CEN_1871,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,ILLEG_RATIO,IMR,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,SR
100001,LONDON,ST. GILES,ST. GEORGE BLOOMSBURY,144.0537407,professional,17853,123.932915,2.65182984,76.939682,128.443583,144.276848,113.377327,60.874392,6.454136,2.631578947,202.9177719,27.7243582,28.18159364,27.13965943,39.64487082,34.1580409,5.486829925,73.14585458
100002,LONDON,ST. GILES,ST. GILES SOUTH,310.0952871,other urban,19109,61.62299395,3.6129502,143.15723,201.78194,188.20384,120.3293,58.68864,10.42909,9.263854425,160.2996255,27.58205101,27.83111773,27.33740729,48.08802872,42.07897612,6.009052599,104.0121
100003,LONDON,ST. GILES,ST. GILES NORTH,259.4953702,semi-professional,16594,63.94719098,3.83725472,156.037382,210.323348,204.630125,123.094571,65.734247,7.631271,3.66088632,205.6113903,26.55725283,26.84143342,26.2523247,47.72991851,43.36885466,4.361063849,92.76713275
110001,LONDON,STRAND,LONG ACRE,309.6050105,semi-professional,11379,36.75328117,3.84262285,162.99905,213.46929,176.15268,136.19987,66.82882,12.87486,1.292705448,176.9499418,26.97614042,27.32795796,26.61789668,45.19511548,40.37695779,4.818157685,100.5857295
110002,LONDON,STRAND,CHARING CROSS,40.3286864,professional,9859,244.4661822,1.84956745,64.838819,97.18881,111.880891,57.696342,32.063332,6.245296,5.272727273,187.1980676,29.0924335,28.99468085,29.18504334,27.55479271,23.56746765,3.987325059,106.9398907
110003,LONDON,STRAND,ST. MARY-LE-STRAND,180.1285074,semi-professional,9378,52.06283078,3.09915151,92.53971,162.779026,185.533572,127.214938,44.679959,7.083097,1.991465149,170.9090909,28.02906537,28.32308671,27.72344645,39.17293233,33.93984962,5.233082707,97.44655582
110004,LONDON,STRAND,ST. CLEMENT DANES,172.69824,semi-professional,10723,62.09096284,3.72003575,136.87234,180.81794,197.08936,148.23658,69.87117,11.11976,2.307692308,260.5583393,27.60518435,28.12251176,27.05116279,46.443744,41.00315198,5.440592024,93.8629118
120001,LONDON,HOLBORN,ST. GEORGE THE MARTYR,196.7296355,semi-professional,20521,104.3106695,3.70618947,150.127095,201.605659,186.63267,140.969532,54.86643,7.036508,1.914660832,175.7392473,27.22597646,27.68892694,26.72893474,44.71133286,39.60085531,5.110477548,93.89165285
120002,LONDON,HOLBORN,ST. ANDREW EASTERN,452.7367473,semi-professional,13529,29.88270795,5.11491965,203.9598,306.505,266.2713,159.55145,69.40065,17.29573,13.11349693,262.2601279,26.58314823,27.13752277,26.05521827,54.65475782,48.62017634,6.034581473,107.0903486
120003,LONDON,HOLBORN,SAFFRON HILL,105.432648,semi-professional,9066,85.98854503,4.2795801,165.20249,236.65025,213.66687,163.97557,65.4492,10.97164,2.557200538,192.7710843,26.73998199,26.75657895,26.72363718,52.64604811,46.40893471,6.237113402,104.3539326
120004,LONDON,HOLBORN,ST. JAMES CLERKENWELL,385.7909363,other urban,18917,49.03432978,5.2439588,210.0803,303.93843,252.91547,192.80067,77.84388,11.21301,3.541969918,192.7272727,25.68692895,26.34610868,25.01861673,55.50355203,50.26326786,5.240284162,99.58298582
120005,LONDON,HOLBORN,AMWELL,205.7293764,semi-professional,16884,82.06897962,3.993541905,158.918129,221.270933,198.969158,148.427599,61.44648,9.676082,2.375565611,155.30429,25.90401826,26.24349942,25.60427505,44.92513928,40.63370474,4.29143454,122.205029
120006,LONDON,HOLBORN,PENTONVILLE,89.88269586,semi-professional,13337,148.3822873,4.36625995,154.66862,237.77213,227.16204,159.74422,80.39843,13.50655,2.444134078,171.5976331,25.54697934,26.5695741,24.3827632,56.60950991,51.46540192,5.14410799,84.16573348
120007,LONDON,HOLBORN,GOSWELL STREET,177.4831125,semi-professional,16242,91.51293196,3.90235745,164.5182,225.23513,183.95822,129.71554,66.44625,10.59815,1.694915254,149.1395793,26.60598011,27.39736502,25.73067916,49.6717522,43.50439205,6.167360148,88.64468864
120008,LONDON,HOLBORN,OLD STREET,231.4628744,semi-professional,12161,52.53974328,4.75834635,207.49758,260.57351,235.17666,150.97278,84.74371,12.70503,0.968188105,141.4937759,25.11004036,25.7253012,24.46264368,53.95637839,49.746386,4.209992392,94.0930347
120009,LONDON,HOLBORN,CITY ROAD,251.0391084,other urban,18301,72.90099186,4.658927195,219.613021,255.925533,231.912603,146.983915,70.51239,6.837977,1.349325337,120.9902371,24.94530737,25.4727873,24.38853288,59.36546675,54.16194544,5.203521311,93.73522459
120010,LONDON,HOLBORN,WHITECROSS STREET,524.080358,other urban,13792,26.31657491,5.5534842,250.98238,284.90441,269.48341,193.75132,88.30583,23.26949,2.061211743,238.2578992,24.60970603,25.33362484,23.87713864,59.15295765,55.43110489,3.721852759,99.04784022
120011,LONDON,HOLBORN,FINSBURY,122.9888101,semi-professional,10741,87.33314836,3.68680405,141.74313,184.96188,182.18981,135.31681,80.32843,12.82075,1.777777778,175.5395683,25.81079056,25.98251873,25.6209073,50.70581592,46.24505929,4.460756635,88.75566214
130001,LONDON,LONDON CITY,ST. BOTOLPH,179.946894,semi-professional,14540,80.80161696,4.053034085,152.152613,224.354189,216.724267,152.059985,60.98853,4.327233,1.373825018,161.5104641,26.38171141,27.52141204,25.11112903,53.08814945,46.51488616,6.573263281,87.00873362
130002,LONDON,LONDON CITY,CRIPPLEGATE,210.5118494,semi-professional,13638,64.78495171,3.9242709,159.45729,201.35181,200.75998,143.52988,63.99196,15.76326,1.57807309,171.1517761,27.07375158,28.09270274,26.00045844,49.88287786,43.73675404,6.146123815,97.46696035
130003,LONDON,LONDON CITY,ST. SEPULCHRE,153.8728261,semi-professional,7562,49.14447983,4.04197745,160.29648,209.44514,198.09344,140.94981,82.85034,16.76028,2.247191011,219.858156,26.51315963,27.17462344,25.8021405,49.27936821,43.90918065,5.370187562,95.03273007
130004,LONDON,LONDON CITY,ST. BRIDE,135.625922,semi-professional,11185,82.46948545,3.191117225,121.611709,183.668618,176.052715,107.73968,44.343816,4.806907,4.555314534,168.4359519,28.53563115,28.58803987,28.48626565,39.55522239,33.6081959,5.947026487,113.042321
130005,LONDON,LONDON CITY,CASTLE BAYNARD,88.84984382,transport,4426,49.81438132,2.830881325,88.729899,160.258501,161.159671,105.374686,45.844057,4.809451,2.118644068,133.5149864,28.12879131,30.31853282,26.19479966,32.91215403,27.10589651,5.806257521,120.1324503
130006,LONDON,LONDON CITY,CHRISTCHURCH,83.57029793,professional,6270,75.02665606,1.961360725,33.096772,100.121146,119.571606,86.648529,41.959632,10.87446,1.195219124,108.5271318,25.89825397,29.17870579,23.50411862,34.41433753,30.31790058,4.096436953,131.4567901
130007,LONDON,LONDON CITY,QUEENHITHE,57.73942665,professional,4753,82.31810178,2.00484426,50.287098,127.715873,118.123774,68.672564,28.540165,7.629378,1.785714286,152.4249423,28.83498419,29.41689587,28.16181818,31.58624515,26.31724903,5.268996118,88.49973863
130008,LONDON,LONDON CITY,ALLHALLOWS BARKING,69.60112375,professional,5764,82.81475485,2.14262922,52.444961,104.926312,129.611599,84.174972,48.464587,8.903413,2.02020202,118.7214612,29.25855113,30.04445876,28.31921448,32.82851817,27.12022367,5.708294501,82.94970162
130009,LONDON,LONDON CITY,BROAD STREET,83.20033983,professional,7845,94.29048025,2.54660122,67.656219,137.207671,127.538174,114.793822,54.304179,7.820179,1.587301587,135.5685131,28.85283982,29.90387632,27.46174377,41.63051338,34.32754881,7.30296457,71.11042376
140001,LONDON,SHOREDITCH,HOLYWELL,174.7610857,other urban,12430,71.12567396,4.42206455,166.3613,244.79016,219.92825,159.70729,77.66545,15.96046,2.696078431,174.0823137,25.80355992,26.24221009,25.36235864,51.58100354,46.86851422,4.712489318,99.7804878
140002,LONDON,SHOREDITCH,ST. LEONARD,228.5443003,other urban,16545,72.39296704,5.11417125,211.64096,258.19709,256.3906,186.83602,98.9361,10.83348,1.976079043,183.0592616,24.58678937,25.20698225,23.93715136,60.28141679,55.89519651,4.386220281,94.94892168
140003,LONDON,SHOREDITCH,HOXTON NEW TOWN,217.7179384,semi-professional,27835,127.8489049,4.2898613,182.60091,231.37336,209.07214,150.21049,71.95246,12.7629,7.198705851,158.5677749,26.15062882,26.94591766,25.30644444,53.41786108,47.03417861,6.38368247,91.97798709
140004,LONDON,SHOREDITCH,HOXTON OLD TOWN,226.0797221,other urban,26933,119.1305428,4.73435465,192.76064,264.60053,232.63034,170.27664,75.14779,11.45499,1.288738877,157.5680117,25.06402907,25.93113517,24.10143094,58.46939381,53.28623167,5.183162145,88.61142217
140005,LONDON,SHOREDITCH,HAGGERSTON WEST,157.4495858,semi-professional,24162,153.4586444,5.07428305,199.00188,268.71863,262.72549,190.5479,78.72134,15.14137,5.431309904,171.3441654,25.41309255,26.44926208,24.3214872,64.32766615,57.42658423,6.901081917,93.8867246
140006,LONDON,SHOREDITCH,HAGGERSTON EAST,192.1705557,other urban,19259,100.2182667,5.19170735,212.50952,265.19617,259.27945,195.65301,88.45607,17.24725,2.025931929,144.9704142,24.06623687,24.95034178,23.11910403,62.8895664,58.14701897,4.742547425,91.12981547
150001,LONDON,BETHNAL GREEN,HACKNEY ROAD,269.7507585,other urban,29822,110.553906,5.572997,249.94046,312.52939,254.27435,197.36617,80.82734,19.66169,1.31714876,167.6246699,23.59775745,23.88310525,23.31589958,62.15293732,58.51000985,3.64292747,101.8950437
150002,LONDON,BETHNAL GREEN,GREEN,124.6527306,semi-professional,42433,340.4097111,5.1376609,217.78834,274.89144,252.09335,174.30215,87.39271,21.06419,3.927986907,159.5334903,24.97641532,25.39431437,24.53123928,67.0802775,59.66699703,7.413280476,91.72303717
150003,LONDON,BETHNAL GREEN,CHURCH,205.1839204,textile,26577,129.5276937,5.5911997,231.90719,299.31626,283.27017,187.96298,96.85326,18.93008,0.748362956,157.9432363,24.40417122,24.90597598,23.88000308,64.28350547,59.02653225,5.25697322,95.11282732
150004,LONDON,BETHNAL GREEN,TOWN,127.2995755,textile,21272,167.1018927,5.7535988,248.43236,307.95982,271.51956,196.22248,98.7139,27.87164,0.722708254,170.4254824,24.14391579,24.23062471,24.05635139,64.70496774,60.07929721,4.625670528,99.82911294
160001,LONDON,WHITECHAPEL,ARTILLERY,248.7460503,other urban,6651,26.73811299,4.38149045,158.46439,214.62476,196.13126,188.61075,108.51591,9.95102,1.090342679,168.1922197,25.47544234,26.08538732,24.81512071,55.76146353,50.91470658,4.846756949,89.59459459
160002,LONDON,WHITECHAPEL,SPITALFIELDS,305.8723066,other urban,15848,51.81247094,4.58090985,173.6013,237.09074,234.97432,170.02793,83.25367,17.23401,1.97109067,189.5353092,26.16023362,25.685621,26.57552672,49.67692892,44.9163816,4.76054732,120.8140999
160003,LONDON,WHITECHAPEL,MILE END NEW TOWN,255.241353,other urban,15550,60.92272986,5.3600956,232.63418,295.90927,264.6667,180.65351,82.49496,15.6605,8.847736626,187.063468,25.60753208,25.38350462,25.82774936,63.09423643,55.72149769,7.372738746,109.9359682
160004,LONDON,WHITECHAPEL,WHITECHAPEL NORTH,199.5383937,other urban,11597,58.1191408,4.8163279,173.7084,265.08057,250.68457,175.4089,81.80595,16.57719,1.297709924,185.7075693,24.61729674,25.07673223,24.18105334,57.37571312,52.77098615,4.604726976,103.5388443
160005,LONDON,WHITECHAPEL,WHITECHAPEL CHURCH,158.8532045,semi-professional,7322,46.09286934,3.98047215,171.56221,210.47808,211.8489,124.72326,63.87851,13.60347,1.981351981,178.5972523,26.54887733,26.9777838,26.11071132,47.88418708,42.8426807,5.041506378,100.2838605
160006,LONDON,WHITECHAPEL,GOODMANS FIELDS,211.4765877,semi-professional,10381,49.08817621,4.912316845,195.694659,298.750657,261.241394,157.525833,61.147765,8.103061,2.081447964,186.3013699,25.05510597,25.17422937,24.93445802,56.20767494,51.64785553,4.559819413,98.41743804
160007,LONDON,WHITECHAPEL,ALDGATE,105.4425427,transport,9224,87.47892233,4.15463204,172.887057,250.671925,223.813766,124.327664,52.114999,7.110997,0.633914422,226.8984446,26.1601139,26.45774816,25.90649087,47.27419355,43.66129032,3.612903226,127.6900477
170001,LONDON,ST. GEORGE IN THE EAST,ST. MARY,290.4509154,transport,17900,61.62831326,5.06875025,204.17455,257.85138,265.11993,184.89367,84.45579,17.25473,2.022147328,199.4811185,24.71624419,24.94864048,24.48376987,58.26248672,54.11795962,4.144527099,100.4615658
170002,LONDON,ST. GEORGE IN THE EAST,ST. PAUL,256.8616382,transport,21350,83.11867881,4.53904945,194.11192,239.23057,222.25162,160.96433,79.3655,11.88595,1.904376013,187.5152402,25.15155545,25.7290564,24.52480935,58.15368437,53.57169684,4.581987531,90.8126702
170003,LONDON,ST. GEORGE IN THE EAST,ST. JOHN,92.043499,transport,8802,95.62869834,4.6285906,194.76178,255.38347,226.93924,164.33798,68.72709,15.56856,16.16541353,180.6140879,28.08816063,29.40969471,26.792,63.60203889,52.48253729,11.1195016,106.7525371
180001,LONDON,STEPNEY,SHADWELL,105.1028399,transport,11640,110.7486725,4.6256301,176.07931,231.69587,245.52938,182.02777,71.04636,18.74733,1.932858596,191.7973462,26.39379537,26.49610895,26.29604596,56.61117878,50.16917039,6.442008391,108.0822304
180002,LONDON,STEPNEY,RATCLIFF,142.8597914,transport,16131,112.9149066,5.28746925,196.36792,282.34487,280.19012,202.52685,85.57932,10.48477,1.4375,204.676259,25.50549589,26.41581186,24.58748581,59.72110754,54.29373997,5.427367576,99.91977537
180003,LONDON,STEPNEY,LIMEHOUSE,121.4999063,transport,29919,246.2471036,5.3579043,218.52509,284.2533,275.19861,188.04046,90.64659,14.91681,1.356421356,152.6961196,24.13322131,24.65773495,23.58898856,66.90974365,62.32119818,4.588545465,96.4624201
190001,LONDON,MILE END OLD TOWN,MILE END OLD TOWN WESTERN,182.8357828,semi-professional,38128,208.5368598,4.48980495,183.22523,246.4047,228.18173,160.15204,68.01071,11.98658,1.523372287,148.4688755,25.41870613,26.31298975,24.43688303,57.96445478,52.53301221,5.431442571,88.7156179
190002,LONDON,MILE END OLD TOWN,MILE END OLD TOWN EASTERN,114.5583148,semi-professional,55024,480.3143283,4.97524685,191.09541,263.09721,259.08507,187.99603,83.41013,10.36552,3.683492497,152.5336091,25.01579618,26.02838594,23.88765774,64.64912806,58.4916402,6.157487865,87.13692946
200001,LONDON,POPLAR,BOW,55.01100393,semi-professional,67765,1231.844452,5.55808425,230.86786,292.14915,275.12749,194.94068,101.65165,16.88002,2.648465757,161.2490402,23.66699284,23.94075388,23.38234494,69.42727958,64.60437076,4.822908817,95.08011957
200002,LONDON,POPLAR,POPLAR,41.76249316,other urban,48611,1163.987021,5.1437912,209.44208,271.2516,250.36753,197.03702,83.28112,17.37889,3.514877327,159.8746082,25.00505103,25.2633085,24.7529779,62.13602049,57.24925856,4.88676193,106.658309
210001,LONDON,ST. SAVIOUR SOUTHWARK,CHRISTCHURCH SOUTHWARK,193.426832,semi-professional,14573,75.3411502,4.354492825,188.736497,230.208669,227.62238,150.435061,67.278666,6.617292,5.459057072,180.4066543,27.19060393,27.05550213,27.32607797,54.11852009,46.37973073,7.738789357,99.85169492
210002,LONDON,ST. SAVIOUR SOUTHWARK,ST. SAVIOUR SOUTHWARK,124.5091234,transport,15677,125.910452,4.70907105,169.00732,260.11699,255.87389,163.56714,81.74826,11.50061,2.536873156,178.5050205,25.61780576,26.19461698,25.04923469,56.82482119,52.18092072,4.643900473,101.4407468
210003,LONDON,ST. SAVIOUR SOUTHWARK,KENT ROAD,176.5170162,other urban,20421,115.6885633,5.04906185,212.82577,277.707,225.57894,182.07242,90.50204,21.1262,2.002794597,198.7071388,24.59307808,25.09329294,24.10093535,59.75004138,55.59510015,4.154941235,101.3331111
210004,LONDON,ST. SAVIOUR SOUTHWARK,BOROUGH ROAD,234.3770839,other urban,16695,71.23136665,4.58662565,222.69781,237.58709,219.9558,151.4004,73.63206,12.05197,9.538461538,182.3640961,26.71731938,26.91451815,26.53480829,53.50447871,47.35432635,6.150152369,112.2085048
210005,LONDON,ST. SAVIOUR SOUTHWARK,LONDON ROAD,152.7219099,semi-professional,18961,124.1537642,4.07909845,161.13151,225.93779,204.293,140.89737,67.3194,16.24062,2.598039216,182.7493261,25.57640879,26.30488301,24.78216504,54.80532282,50.19714145,4.60818137,89.95163052
