CEN_1851,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
3510002,HEREFORDSHIRE,LEOMINSTER,BODENHAM,0.158533028,agriculture,3997,25212.41183,4.29698,126.885103,195.973489,229.114295,163.788972,84.306974,22.200108,7.61699,4.95315855,477.20023,353.08397,303.96417,203.9493,104.66929,24.96498,228.4076722,30.04648545,11.01694915,27.29293838,29.2193731,9.543568465,9.523809524,103.5,62.06,7.509386733,5.140186916,5.257009346,19.63,13.31775701,0.934579439,28.05313283,28.22694672,27.78648915,63.59163592,52.39852399,11.19311193,0.1,112.7734033,1.576763485,4.232365145,23.73443983,8.547717842,61.90871369,2.54,13.78,19.36,3.55,9.97,0.08,1.94,48.77,12.07,56.64,36.94,50.54347826,0,62.71428571,6.172839506,14.50617284,21.31578947,38.68421053
3510003,HEREFORDSHIRE,LEOMINSTER,KINGSLAND,0.175713436,agriculture,4901,27892.00479,4.2183,106.17159,213.80871,246.18609,198.44992,113.89382,16.16893,7.74475,5.4109716,467.88088,349.26373,332.45686,232.50927,148.38448,19.57998,246.3241179,31.49314073,11.56462585,28.33344874,27.77459057,11.30434783,20,115.76,58.43,2.04624514,5.051449953,5.61272217,20.3,11.78671656,1.590271282,28.65272653,29.05616094,28.23024194,65.46811398,52.54409769,12.92401628,0.39,104.8814505,1.901975128,3.291880029,28.52962692,9.50987564,56.76664228,2.47,15.87,21.86,7.93,7.26,0.15,0,44.46,9.02,55.64,39.08,55.29953917,0,76.57142857,4.830917874,7.729468599,21.31147541,38.52459016
3520001,SHROPSHIRE,LUDLOW,LEINTWARDINE,0.137170569,agriculture,2227,16235.26111,4.1788,72.901946,203.051824,275.02493,178.793749,81.490375,22.037236,7.77005,5.9156144,426.06145,420.95349,381.42292,222.27611,131.42611,27.04425,241.3529269,33.86739749,13.91752577,27.5493602,28.6220686,15.06493506,16.23036649,97.62,55.85,4.508566276,5.251641138,4.157549234,22.76,12.03501094,2.84463895,28.53707052,29.18954248,27.8622807,62.28906823,50.33015407,11.95891416,0.23,109.6923077,2.541106129,3.736920777,24.66367713,10.01494768,58.89387145,2.45,15.95,19.02,6.75,8.13,0.31,0,47.24,11.35,70.52,37.66,47.61904762,0,38.66666667,4.069767442,9.302325581,24.18604651,48.37209302
3520002,SHROPSHIRE,LUDLOW,LUDLOW,0.355033461,agriculture,8119,22868.26706,3.91939,74.55787,176.67857,210.30897,169.81903,88.26433,10.83604,8.19675,5.5756518,541.84399,434.63267,319.81548,231.87686,112.51896,16.28639,215.0791269,31.34589905,16.78939617,25.28250787,27.23011259,9.708737864,11.40350877,150.9,94.72,6.157635468,8.485562758,5.362404243,25.69,14.02474956,1.178550383,28.41432099,28.70838253,28.0988266,59.82636148,48.73717443,11.08918706,0.48,89.05547226,4.903283851,9.626630679,29.64462438,12.14574899,43.54475933,5.39,16.23,25.27,12.59,20.1,0.97,0.05,19.27,15.19,63.73,44.74,46.4573991,0,54.625,5.899705015,10.61946903,28.12105927,38.46153846
3520003,SHROPSHIRE,LUDLOW,CAINHAM,0.19503855,agriculture,2455,12587.25518,4.43482,127.88731,252.80162,270.30365,199.17664,83.75417,29.68628,7.82901,5.52773305,433.27761,411.46756,341.97469,224.82879,96.95521,30.32036,224.9907251,20.69914671,7.407407407,25.00427668,29.14292049,13.92405063,15.55555556,132.87,71.37,0,4.166666667,3.174603175,20.04,9.920634921,3.373015873,26.53494949,26.94353519,26.04971933,69.05737705,58.53825137,10.51912568,0.12,101.6551724,1.137980085,1.706970128,22.47510669,29.16073969,45.3769559,1.91,14.96,17.45,4.4,9.24,0.29,20.09,31.52,7.73,60.23,33.72,50.22624434,0,66.88888889,4.366812227,16.15720524,19.84435798,45.91439689
3520004,SHROPSHIRE,LUDLOW,MUNSLOW,0.143052778,agriculture,2170,15169.22653,4.30914,127.412827,193.069141,238.521673,216.488215,127.476623,25.151199,7.38098,5.31045085,410.23596,339.35296,328.25535,211.89625,151.49778,31.08783,180.7651119,15.69150286,8.148148148,25.17160317,29.9691817,15.18987342,14.14141414,77.14,38.8,0,6.334841629,3.167420814,23.08,10.85972851,1.583710407,27.16172382,27.07596154,27.13471971,68.98981989,56.6953798,12.29444009,0,109.2409241,2.454991817,2.127659574,30.27823241,7.692307692,57.11947627,1.85,20.2,20.71,5.56,11.78,0,3.2,36.53,13.27,63.52,46.58,48.16513761,0,69.28571429,7.317073171,18.90243902,24.25742574,39.10891089
3520005,SHROPSHIRE,LUDLOW,DIDDLEBURY,0.111188639,agriculture,2080,18706.94724,4.40395,114.96277,241.42997,285.04495,191.0111,137.69327,20.43395,9.20701,5.6068546,994.9131,441.93003,295.19029,208.73543,148.73279,26.78238,186.175959,29.02273098,13.38028169,27.0940979,28.84797438,9.696969697,15.20467836,111.65,50.93,0,3.980099502,2.985074627,22.64,12.18905473,2.23880597,27.57459095,27.22401615,27.9093432,68.94308943,55.77235772,13.17073171,0.19,118.9624329,1.127214171,1.449275362,19.00161031,4.025764895,74.39613527,1.16,12.13,15.12,3.49,7.97,0,0,60.13,5.67,57.27,35,66.07142857,0,94.4,6.145251397,14.52513966,25,44.90740741
3530001,SHROPSHIRE,CLUN,CLUN,0.111768142,agriculture,3865,34580.51578,4.31966,104.80891,204.54263,237.5978,204.14743,95.20266,28.86412,7.82335,5.2539755,437.90982,399.64628,288.77003,229.95574,100.48612,31.93693,239.853409,32.2499554,11.7816092,26.58346313,29.47575048,12.93103448,14.9122807,105.26,66.73,7.447864945,9.567198178,9.111617312,13.1,9.225512528,1.59453303,27.24087956,27.01765317,27.37560739,66.88907423,56.00500417,10.88407006,0.25,110.7964602,2.065404475,3.012048193,24.09638554,4.991394148,65.6626506,1.95,17.52,17.35,5.84,8.14,0.09,0,48.94,7.38,62.93,22.13,50.95890411,0,85.36363636,7.079646018,14.15929204,26.59846547,42.19948849
3530002,SHROPSHIRE,CLUN,BISHOPS CASTLE,0.163586102,agriculture,2805,17146.93339,4.25044,70.988172,193.959795,215.322747,201.830141,126.343383,45.077767,7.77394,5.4684664,495.54636,372.15671,318.04632,225.7266,128.85608,48.90757,248.0073308,38.03719703,16.19433198,24.75379364,30.43501287,13.33333333,5.970149254,129.82,73.53,3.582945181,8.205128205,7.863247863,18.8,13.5042735,0.854700855,27.34532374,27.64996315,26.9497523,66.46706587,54.91017964,11.55688623,0.86,103.9215686,4.282115869,7.304785894,27.07808564,13.35012594,47.48110831,4.1,20.51,22.82,6.15,20.64,0.38,4.1,20.77,10.8,61.25,41.94,49.01315789,0,68.5,6.825938567,8.19112628,24.51612903,44.51612903
3530003,SHROPSHIRE,CLUN,NORBURY,0.076500591,agriculture,1598,20888.72755,4.86662,113.61416,279.906353,234.916372,234.251475,127.84693,27.44704,7.79418,5.7297575,575.88175,461.89134,282.33055,221.81547,144.25516,35.65898,270.848975,28.59053012,9.655172414,27.01375177,26.1491675,7.575757576,21.05263158,77.81,47.19,0,9.148264984,6.309148265,19.24,6.940063091,2.208201893,25.94574132,25.8365651,25.8529755,67.37064414,57.33896515,10.03167899,0.19,131.6953317,2.028397566,3.448275862,24.13793103,13.18458418,57.20081136,1.67,24.27,17.78,3.56,7.32,0.84,9,35.56,4.18,62.42,38.46,59.09090909,0,54,7.643312102,15.2866242,22.44897959,46.42857143
3530004,SHROPSHIRE,CLUN,LYDBURY,0.130964186,agriculture,1851,14133.63499,4.30545,106.041791,184.532143,222.566418,178.707412,114.181986,27.685672,7.84765,4.9770555,510.44377,331.9193,326.79928,200.33819,101.96496,34.38937,259.9890381,18.45170601,7.01754386,26.30568274,29.61668286,12.79069767,12.42937853,102.56,72.31,0,4.545454545,8.080808081,17.68,8.585858586,1.767676768,27.32865623,27.15349887,27.4989648,64.85765125,53.91459075,10.9430605,0.32,109.5149254,1.805054152,2.346570397,24.90974729,5.23465704,65.5234657,2.04,15.58,20.78,7.61,35.25,0,0,18.55,15.58,67.13,45.45,46.2962963,0,103.75,11.72413793,22.75862069,29.44444444,43.33333333
