CEN_1881,REGCNTY,REGDIST,SUBDIST,POP_DENS,TYPE,POP,ACRES,TFR,ASFR_20-24,ASFR_25-29,ASFR_30-34,ASFR_35-39,ASFR_40-44,ASFR_45-49,TMFR,TMFR_25,ASMFR_20-24,ASMFR_25-29,ASMFR_30-34,ASMFR_35-39,ASMFR_40-44,ASMFR_45-49,LEGIT_RATE,ILLEG_RATE,ILLEG_RATIO,F_SMAM,M_SMAM,F_CEL_4554,M_CEL_4554,IMR,ECMR,DOC,LP_FAM,SINGLE_PER,HOUSE_SERV,BOARD,HH_KIN,AV_AGE,AV_AGE_F,AV_AGE_M,DEPEND,C_WORK_AGE,ELD_WORK_AGE,IRISH_BORN,SR,HC1,HC2,HC3,HC4,HC5,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,FMAR_PRATE,FNM_PRATE,FWID_PRATE,F_DOM,F_TEX,C_TEACHER,F_CL_1013,M_CL_1013,F_CL_1418,M_CL_1418
3960005,WARWICKSHIRE,STRATFORD ON AVON,WOOTTON WAWEN,0.22,agriculture,3753,17199.96922,4.59095,178.32835,237.50886,226.25535,188.30208,116.8797,23.58164,8.13479,5.66251685,582.44327,413.31649,290.46525,254.8174,147.45542,26.44881,227.5026375,15.5357909,5.750798722,26.02651193,27.27177779,12.63736264,13.79310345,116.37,71.32,7.993605116,4.186602871,6.698564593,14.59,13.51674641,1.555023923,28.24386994,28.27615507,28.21134296,71.24600639,59.33363761,11.91236878,0.61,99.18181818,4.015670911,9.402546523,26.3467189,8.912830558,50.93046033,4.95,17.37,21.62,8.79,18.08,0.1,0,28.59,14.31,69.46,44.27,42.22737819,0,53.47058824,6.042296073,11.48036254,36.11111111,43.20987654
3970001,WARWICKSHIRE,ALCESTER,STUDLEY,0.42,agriculture,5260,12618.00873,4.65489,150.11905,259.70586,232.4691,181.93207,115.76332,14.51283,7.61986,5.3259968,467.58446,382.8197,298.99239,229.34257,136.63917,17.40553,251.807787,13.49113896,4.401408451,25.64928476,25.41399701,7.826086957,8.403361345,160.03,100.69,1.901140684,5.130513051,2.790279028,11.07,12.87128713,2.430243024,25.77264079,26.31743666,25.20412131,63.07787775,55.97269625,7.105181508,0.21,93.57357357,2.603471295,11.48197597,46.52870494,12.21628838,26.50200267,4.18,13.77,48.9,8.36,9.45,0.21,0,14.38,43.4,83.5,57.59,13.0952381,0,55.63636364,6.852248394,10.70663812,38.27160494,46.56084656
3970002,WARWICKSHIRE,ALCESTER,ALCESTER,0.31,agriculture,5292,17304.16966,4.82165,142.106621,283.879804,223.668394,194.635354,114.056668,6.359532,7.8825,5.737019055,415.327352,500.750536,265.1346,237.644613,135.99743,7.876632,236.9161978,25.89310304,9.072164948,26.10286476,26.73572371,9.905660377,11.53846154,92.23,54.62,5.66893424,5.221238938,6.991150442,12.57,10.17699115,1.327433628,26.92950293,27.01371951,26.84664417,75.6057086,63.65748423,11.94822436,0.47,97.57377049,3.873239437,10.07042254,25.14084507,18.45070423,42.32394366,4.86,14.73,21.84,15.24,12.92,0.65,0.07,29.54,17.81,73.89,54.1,34.37967115,0,41.9375,5.284552846,8.536585366,33.33333333,43.37349398
3970003,WARWICKSHIRE,ALCESTER,FECKENHAM,0.39,agriculture,6148,15881.09692,4.98626,198.09205,273.74937,264.644,190.25965,86.98202,10.1366,7.8261,5.167591295,521.145724,400.013346,305.263849,218.029186,100.417262,9.794616,256.4152183,19.63294921,5.572755418,24.87170469,25.58114542,8.679245283,8.536585366,128.33,79.48,3.253090436,4.157386785,5.419450631,11.73,9.279881218,2.598366741,26.38392712,26.59545891,26.16490066,75.12820513,63.67521368,11.45299145,0.07,93.81557151,2.223594812,7.906114886,46.571958,9.635577517,33.4156887,2.67,14.54,44.63,6.03,9.59,0.13,0.06,22.16,47.61,84.99,62.69,17.59098787,0.086655113,49.03225806,6.914893617,7.269503546,40.25974026,42.20779221
3970004,WARWICKSHIRE,ALCESTER,BIDFORD,0.29,agriculture,2739,9520.625204,4.83373,180.4177,233.85342,248.50046,149.62389,87.06144,16.93939,7.72803,4.95383925,582.20799,361.56866,293.72361,212.12743,102.94899,20.39916,226.0778128,11.77856302,4.444444444,25.82102575,26.64755365,11.96581197,10.83333333,101.47,61.05,18.25483753,4.517133956,7.476635514,9.5,10.74766355,0.934579439,28.02777778,28.15206372,27.90110701,74.82428115,61.46964856,13.35463259,0.22,95.38077403,2.638888889,7.222222222,18.75,6.944444444,64.16666667,4.15,11.17,16.19,8.74,12.61,0,0.14,46.56,36.18,67.38,60,21.15869018,0,68.3,2.032520325,11.78861789,26.35658915,46.51162791
3980001,WARWICKSHIRE,SHIPSTON ON STOUR,CAMPDEN,0.24,agriculture,4592,18749.32436,4.9627,189.00356,243.69122,226.05852,187.41131,111.50518,15.96284,7.98117,5.68579365,464.93003,423.45344,326.09709,233.32885,133.4031,20.87625,251.4952458,15.54489151,5.513784461,27.06208712,28.55042526,8.928571429,8.780487805,92.77,54.99,6.533101045,6.051873199,8.645533141,12.2,7.780979827,1.152737752,27.42745098,27.92700088,26.93696028,76.19961612,63.49328215,12.70633397,0.54,100.5388761,4.308943089,7.073170732,20.40650407,6.991869919,60.97560976,4.69,15.93,14.84,10.39,10.06,0.08,0,43.76,17.73,66.46,39.44,40.90019569,0,37.70967742,7.236842105,16.44736842,30.50458716,43.11926606
3980002,WARWICKSHIRE,SHIPSTON ON STOUR,MORETON,0.25,agriculture,5352,21070.95094,4.91587,154.88625,251.25363,266.89631,192.49459,109.99,17.90328,8.46527,5.713586,667.6694,373.1432,361.9805,246.6318,136.8009,24.1608,259.4174943,12.56477849,4.612159329,25.81670009,28.13868172,14.23357664,9.829059829,92.81,55.02,7.473841555,5.942947702,8.161648177,12.2,7.448494453,1.030110935,28.07706697,28.89411765,27.23076923,75.04911591,61.19842829,13.85068762,0.19,94.89470325,2.742616034,10.33755274,21.30801688,11.88466948,53.5161744,4.53,15.24,18.69,11.21,18.19,0.5,0.07,31.27,15.04,72.22,48.46,37.13405239,0,38.79411765,5.144032922,14.40329218,33.58208955,46.26865672
3980003,WARWICKSHIRE,SHIPSTON ON STOUR,SHIPSTON ON STOUR,0.26,agriculture,4531,17378.9376,4.88297,134.285353,250.271311,266.28803,166.365682,87.94087,9.060291,7.83754,5.36851955,416.781117,424.190117,322.901401,206.618795,110.929792,9.063805,240.1741616,29.71084512,10.02386635,26.29269819,28.17700852,12.44635193,9.389671362,116.22,71.22,8.828073273,5.571565802,7.877041306,12.78,7.204610951,1.056676273,28.49061603,28.83215235,28.15103479,70.32719067,56.90109064,13.42610004,0.13,98.13710879,3.497615262,10.01589825,20.66772655,8.426073132,56.99523052,4.27,16.11,16.27,8.87,11.01,0.9,0.08,42.15,11.28,63.49,46.29,39.1025641,0.213675214,46,4.020100503,17.83919598,26.6075388,45.67627494
3980004,WARWICKSHIRE,SHIPSTON ON STOUR,HALFORD,0.16,agriculture,3410,21017.90138,4.90735,159.06531,260.81414,279.58603,230.33834,125.41654,22.16418,8.0539,6.26810665,570.43038,428.5123,360.57734,300.74766,137.32397,26.46006,219.9418703,18.49067538,6.439393939,26.95081429,28.68570117,7.222222222,12.22222222,88.09,51.71,0,5.689001264,8.849557522,10.37,4.804045512,1.517067004,28.4526254,28.57410662,28.33078731,79.13820284,63.84655807,15.29164477,0.09,105.2858684,1.960784314,5.22875817,20.37037037,6.644880174,65.25054466,2.25,14.61,12.02,8.99,23.37,0,0,38.31,12.86,57.19,31.43,44.12811388,0,41.28571429,3.880597015,13.13432836,22.95597484,48.74213836
3990001,WARWICKSHIRE,SOUTHAM,SOUTHAM,0.2,agriculture,10277,52506.85443,4.97695,171.04566,259.35542,261.88931,211.06474,95.13532,16.64258,7.59401,5.225767,490.6496,361.8019,312.9516,245.0221,105.1095,20.2683,252.8431692,15.92016817,4.446742503,25.68811195,26.93044809,7.661290323,10.22964509,107.2,65.02,3.892186436,3.839732888,7.637729549,11.23,8.013355593,0.834724541,27.81831452,27.82845188,27.8086361,73.96309463,60.97850008,12.98459455,0.22,107.2631579,2.635228849,8.807212205,18.13453537,16.5742025,53.74479889,3.19,16.01,12.39,9.53,23.35,0.07,0.04,35.17,7.44,66.12,40.8,49.65357968,0,46.40740741,3.883495146,12.62135922,26.74418605,47.04016913
